#blinkered/attestations/2 language=sk words=57125 sources=20 built=2026-09-23 digest=d975052586467641
#tokens ebible:slk=108469 ia=12492183 lz:slk_news_2020_100K=137003 lz:slk_newscrawl_2016_1M=3632538 lz:slk-sk_web_2016_1M=4210502 tat=116664 web:aktuality.sk=305078 web:cas.sk=56858 web:dobrenoviny.sk=32526 web:hlavnespravy.sk=2165816 web:hnonline.sk=407852 web:litcentrum.sk=78457 web:noviny.sk=130139 web:postoj.sk=278281 web:pravda.sk=168497 web:refresher.sk=472791 web:sita.sk=662106 web:startitup.sk=476121 web:stvr.sk=162815 web:tasr.sk=36567 web:topky.sk=118936 web:trend.sk=32370 wiki:sk=53188744 wikisource:sk=383907
MATRIČNOM	lz:slk-sk_web_2016_1M,web:cas.sk,wiki:sk	1,1,5	lz:slk-sk_web_2016_1M:http://www.regionkysuce.sk/sk/zima-na-kysuciach/773-beskydsko-javornicka-lyziarska-magistrala web:cas.sk:https://www.cas.sk/spravy/pornohviezda-bonnie-blue-to-uz-prehnala-meno-svojho-dietata-vydrazila-za-12-miliona-vola-sa?itm_modul=react_novycas_spravy&amp;itm_brand=novycas&amp;itm_template=hp&amp;itm_position=1&amp;itm_cb_position=mid_main_1 wiki:sk:123171 wiki:sk:133801
MÄTÚCICH	lz:slk-sk_web_2016_1M,wiki:sk	1,5	lz:slk-sk_web_2016_1M:http://www.mamatata.sk/nodequeue/102?page=5 wiki:sk:87508 wiki:sk:168414
MEDIÁCIOU	lz:slk-sk_web_2016_1M,wiki:sk	1,5	lz:slk-sk_web_2016_1M:http://tatranpresov.sk/clanok/champions-league-preview-elverum-handball-%E2%80%93-tatran-presov wiki:sk:6931 wiki:sk:107571
MEGATONA	lz:slk-sk_web_2016_1M,wiki:sk	1,5	lz:slk-sk_web_2016_1M:https://davidkralik.blog.sme.sk/c/128076/Dyslexia-nasa-kazdodenna-o.html wiki:sk:15130 wiki:sk:69216
MENOVKYŇA	lz:slk-sk_web_2016_1M,wiki:sk	1,5	lz:slk-sk_web_2016_1M:http://www.culture.gov.sk/rss wiki:sk:19424 wiki:sk:285744
MERACIU	lz:slk-sk_web_2016_1M,web:hnonline.sk,wiki:sk	1,2,5	lz:slk-sk_web_2016_1M:http://www.dovolenkapodolsky.sk/?wpsc-product=4-bulharsko-zlatepiesky-hotelberlingoldenbeach web:hnonline.sk:https://hnonline.sk/pr-clanky/96303723-ako-zmodernizovat-vodarensku-siet-bez-plosnej-vymeny-vodomerov web:hnonline.sk:https://hnonline.sk/pr-clanky/96302705-europa-meni-pristup-k-vode-co-to-znamena-pre-slovenske-vodarne wiki:sk:8269 wiki:sk:38637
METODISTA	lz:slk-sk_web_2016_1M,wiki:sk	1,5	lz:slk-sk_web_2016_1M:https://www.autodielyonline24.sk/znaciek-automobilov/diely-opel/antara-2006.html wiki:sk:10317 wiki:sk:30000
MILENECKÉ	lz:slk-sk_web_2016_1M,wiki:sk	1,5	lz:slk-sk_web_2016_1M:http://www.exklusivtravel.sk/detail-zajazdu/nepal-sikkim-bhutan/27211a wiki:sk:46306 wiki:sk:255900
MILIGRAMU	lz:slk-sk_web_2016_1M,web:hlavnespravy.sk,web:sita.sk,wiki:sk	1,1,1,5	lz:slk-sk_web_2016_1M:http://www.weleda.sk/upokojujuca-starostlivost/174-upokojujuce-telove-mlieko web:hlavnespravy.sk:https://www.hlavnespravy.sk/policia-pri-cuvani-do-dvora-muz-zabil-svoju-druzku/648 web:sita.sk:https://sita.sk/byvaniehrou/biele-verzus-hnede-vajcia-tento-detail-rozhoduje-o-farbe-skrupiny/ wiki:sk:30421 wiki:sk:81159
MIMOVLÁDNU	lz:slk-sk_web_2016_1M,wiki:sk	1,5	lz:slk-sk_web_2016_1M:http://4x4nazory.sk/diskusia/viewtopic.php?f=42=5173 wiki:sk:70876 wiki:sk:286160
